[18:28:30.4974] cted! Chip ID: 0xA0
[18:28:30.4996] BNO055 initialized successfully!
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy
[18:28:30.5020] 0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,-3.63,0.07,8.71,0.44,0.94,-0.19,9.44,0,1.70,0.0000,0.0000
[18:28:30.5030] 0.00,0.00,0.00,1.0000,0.0001,0.0000,-0.0001,-3.44,-0.03,8.76,-0.38,-0.19,0.00,9.41,0,1.70,-0.0000,-0.0000
[18:28:30.5039] -21.81,0.00,0.00,0.9818,-0.0002,0.1897,-0.0001,-3.64,0.00,8.76,-0.62,-0.12,-0.06,9.49,0,1.70,0.0745,0.0001
[18:28:30.5715] -21.81,0.00,359.94,0.9819,-0.0004,0.1896,0.-22.31,0.19,359.75,0.9810,-0.0024,0.1940,0.0021,-3.71,0.01,8.97,0.62,0.69,0.25,9.71,0,1.70,0.0761,0.0011
[18:28:30.6255] -22.38,0.25,359.75,0.9810,-0.0025,0.1942,0.0021,-3.68,-0.04,8.99,-0.44,-0.12,-0.12,9.71,0,1.70,0.0762,0.0011
[18:28:30.6926] -22.38,0.25,359.75,0.9810,-0.0026,0.1940,0.0021,-3.63,0.04,8.93,-0.81,-0.62,-0.25,9.64,0,1.70,0.0761,0.0012
[18:28:30.7615] -22.31,0.25,359.69,0.9810,-0.0028,0.1938,0.0022,-3.68,0.01,8.99,-0.50,-0.88,0.00,9.71,0,1.70,0.0761,0.0013
[18:28:30.8284] -22.31,0.31,359.69,0.9810,-0.0031,0.1938,0.0023,-3.78,0.00,9.03,0.38,0.69,0.00,9.79,0,1.70,0.0761,0.0014
[18:28:30.8954] -22.31,0.31,359.69,0.9811,-0.0031,0.1937,0.0023,-3.72,0.00,9.02,-1.19,-1.25,-0.44,9.76,0,1.70,0.0760,0.0014
[18:28:30.9635] -22.25,0.31,359.69,0.9812,-0.0034,0.1929,0.0023,-3.68,-0.01,9.02,-0.19,-0.88,-0.38,9.74,0,1.70,0.0757,0.0015
[18:28:31.0295] -22.19,0.31,359.69,0.9813,-0.0034,0.1928,0.0023,-3.60,-0.03,8.98,0.94,0.56,0.38,9.67,0,1.70,0.0757,0.0015
[18:28:31.0964] -22.25,0.25,359.69,0.9811,-0.0029,0.1931,0.0022,-3.62,0.03,8.93,-0.56,-1.12,0.19,9.64,0,1.70,0.0758,0.0013
[18:28:31.1644] -22.25,0.31,359.69,0.9812,-0.0034,0.1930,0.0023,-3.66,-0.02,8.96,0.50,-0.12,0.38,9.68,0,1.70,0.0757,0.0015
[18:28:31.2324] -22.25,0.31,359.69,0.9811,-0.0031,0.1934,0.0022,-3.74,0.04,8.98,0.62,0.81,0.50,9.73,0,1.70,0.0759,0.0014
[18:28:31.3019] -22.19,0.38,359.69,0.9812,-0.0036,0.1929,0.0023,-3.67,-0.09,9.08,-1.94,-1.56,-0.56,9.79,0,1.70,0.0757,0.0016
[18:28:31.3684] -22.25,0.31,359.69,0.9812,-0.0034,0.1929,0.0022,-3.79,0.05,9.05,1.19,1.94,0.06,9.81,0,1.70,0.0757,0.0015
[18:28:31.4354] -22.25,0.31,359.75,0.9811,-0.0031,0.1934,0.0021,-3.74,0.01,9.03,-0.06,0.69,-0.19,9.77,0,1.70,0.0759,0.0014
[18:28:31.5044] -22.25,0.31,359.69,0.9811,-0.0032,0.1934,0.0021,-3.64,0.00,8.98,-0.19,-0.19,0.31,9.69,0,1.70,0.0759,0.0014
[18:28:31.5745] -22.31,0.25,359.75,0.9810,-0.0029,0.1939,0.0021,-3.74,0.02,8.98,0.94,1.06,0.19,9.73,0,1.70,0.0761,0.0013
[18:28:31.6444] -22.31,0.31,359.69,0.9811,-0.0034,0.1937,0.0022,-3.64,-0.06,9.02,-1.19,0.00,-0.31,9.73,0,1.70,0.0760,0.0015
[18:28:31.7144] -22.31,0.31,359.69,0.9810,-0.0034,0.1939,0.0023,-3.72,0.00,8.97,0.56,0.75,0.31,9.71,0,1.70,0.0761,0.0015
[18:28:31.7814] -22.38,0.31,359.69,0.9810,-0.0032,0.1942,0.0023,-3.69,0.05,8.97,-0.81,-0.81,-0.31,9.70,0,1.70,0.0762,0.0014
[18:28:31.8484] -22.31,0.38,359.69,0.9810,-0.0036,0.1940,0.0024,-3.65,0.00,8.97,0.38,0.12,-0.12,9.68,0,1.70,0.0761,0.0016
[18:28:31.9165] -22.31,0.31,359.69,0.9810,-0.0036,0.1940,0.0023,-3.65,0.00,8.95,-0.06,-0.31,0.12,9.67,0,1.70,0.0761,0.0016
[18:28:31.9834] -22.44,0.31,359.69,0.9808,-0.0032,0.1948,0.0023,-3.74,-0.03,9.03,1.44,2.19,0.44,9.77,0,1.70,0.0764,0.0014
[18:28:32.0495] -22.50,0.25,359.69,0.9807,-0.0029,0.1954,0.0022,-3.75,0.02,8.98,-0.75,-0.06,-0.06,9.73,0,1.70,0.0766,0.0013
[18:28:32.1184] -22.50,0.25,359.69,0.9807,-0.0030,0.1954,0.0023,-3.83,0.00,9.04,0.56,-0.50,0.12,9.82,0,1.70,0.0766,0.0013
[18:28:32.1845] -22.50,0.31,359.69,0.9807,-0.0031,0.1953,0.0023,-3.75,0.00,9.05,-0.25,0.12,0.19,9.80,0,1.70,0.0766,0.0014
[18:28:32.2504] -22.56,0.25,359.69,0.9807,-0.0029,0.1958,0.0022,-3.79,0.01,9.01,1.31,1.56,0.19,9.77,0,1.70,0.0768,0.0013
[18:28:32.3184] -22.56,0.25,359.69,0.9806,-0.0026,0.1961,0.0021,-3.79,0.08,8.93,-0.25,0.12,-0.12,9.70,0,1.70,0.0769,0.0012
[18:28:32.3855] -22.56,0.25,359.69,0.9807,-0.0028,0.1959,0.0022,-3.64,0.00,8.95,0.00,-0.31,-0.12,9.66,0,1.70,0.0768,0.0013
[18:28:32.4526] -22.56,0.25,359.69,0.9807,-0.0029,0.1959,0.0023,-3.73,0.24,8.81,-2.56,-1.44,0.19,9.57,0,1.70,0.0768,0.0013
[18:28:32.5203] -22.44,0.56,359.62,0.9808,-0.0053,0.1950,0.0033,-3.43,-0.75,9.19,0.19,1.50,1.38,9.84,0,1.70,0.0765,0.0023
[18:28:32.5924] -22.62,0.31,359.62,0.9805,-0.0035,0.1964,0.0032,-3.73,0.15,8.99,1.19,-0.06,0.69,9.73,0,1.70,0.0770,0.0016
[18:28:32.6534] -22.69,0.25,359.56,0.9804,-0.0029,0.1970,0.0033,-3.91,-0.07,9.02,1.12,2.00,-0.25,9.83,0,1.70,0.0772,0.0014
[18:28:32.7214] -22.69,0.12,359.56,0.9804,-0.0021,0.1968,0.0032,-3.67,0.17,8.87,-0.75,-1.50,-0.94,9.60,0,1.70,0.0772,0.0011
[18:28:32.7886] -22.56,0.31,359.69,0.9807,-0.0031,0.1956,0.0024,-3.70,0.00,9.00,-1.00,-3.56,-1.06,9.73,0,1.70,0.0767,0.0014
[18:28:32.8545] -22.38,0.31,359.69,0.9809,-0.0032,0.1945,0.0023,-3.77,0.07,8.98,0.69,0.44,-0.56,9.74,0,1.70,0.0763,0.0014
[18:28:32.9225] -22.38,0.31,359.69,0.9809,-0.0032,0.1945,0.0026,-3.53,-0.06,8.99,0.31,1.06,1.19,9.66,0,1.70,0.0763,0.0014
[18:28:32.9885] -22.69,0.19,359.56,0.9804,-0.0023,0.1968,0.0034,-4.04,0.12,8.95,0.00,5.44,1.50,9.82,0,1.70,0.0772,0.0012
[18:28:33.0554] -22.81,0.25,359.50,0.9802,-0.0031,0.1980,0.0038,-3.77,0.19,8.95,-0.06,2.94,-0.44,9.71,0,1.70,0.0776,0.0015
