[17:17:58.6222] MPU6050 Init Failed! Retrying...
[17:17:59.6235] MPU6050 Init Failed! Retrying...
[17:18:00.6244] MPU6050 Init Failed! Retrying...
[17:18:01.6263] MPU6050 Init Failed! Retrying...
[17:18:02.6278] MPU6050 Init Failed! Retrying...
[17:18:03.6293] MPU6050 Init Failed! Retrying...
[17:18:04.6325] MPU6050 Init Failed! Retrying...
[17:18:05.6345] MPU6050 Init Failed! Retrying...
[17:18:06.6366] MPU6050 Init Failed! Retrying...
[17:18:07.6654] MPU6050 Init Failed! Retrying...
[17:18:08.6925] MPU6050 Init Failed! Retrying...
[17:18:09.7203] MPU6050 Init Failed! Retrying...
[17:18:10.7474] MPU6050 Init Failed! Retrying...
[17:18:11.7745] MPU6050 Init Failed! Retrying...
[17:18:12.8023] MPU6050 Init Failed! Retrying...
[17:18:13.8295] MPU6050 Init Failed! Retrying...
[17:18:14.8565] MPU6050 Init Failed! Retrying...
[17:18:15.8845] MPU6050 Init Failed! Retrying...
[17:18:16.9114] MPU6050 Init Failed! Retrying...
[17:18:17.9395] MPU6050 Init Failed! Retrying...
[17:18:18.9664] MPU6050 Init Failed! Retrying...
[17:18:19.9944] MPU6050 Init Failed! Retrying...
[17:18:21.0214] MPU6050 Init Failed! Retrying...
[17:18:22.0494] MPU6050 Init Failed! Retrying...
[17:18:23.0765] MPU6050 Init Failed! Retrying...
[17:18:24.1040] MPU6050 Init Failed! Retrying...
[17:18:25.1313] MPU6050 Init Failed! Retrying...
[17:18:26.1586] MPU6050 Init Failed! Retrying...
[17:18:27.1862] MPU6050 Init Failed! Retrying...
[17:18:28.2137] MPU6050 Init Failed! Retrying...
[17:18:29.2413] MPU6050 Init Failed! Retrying...
[17:18:30.2683] MPU6050 Init Failed! Retrying...
[17:18:31.2956] MPU6050 Init Failed! Retrying...
[17:18:32.3232] MPU6050 Init Failed! Retrying...
[17:18:33.3502] MPU6050 Init Failed! Retrying...
[17:18:34.3522] MPU6050 Init Failed! Retrying...
[17:18:35.3545] MPU6050 Init Failed! Retrying...
[17:18:36.3574] MPU6050 Init Success!
[17:18:36.3634] Roll: 0.00 | Pitch: 0.00 | Yaw: 0.00
[17:18:36.3895] Roll: 11.34 | Pitch: -33.84 | Yaw: -0.14
[17:18:36.4164] Roll: 17.52 | Pitch: -37.98 | Yaw: -0.68
[17:18:36.4444] Roll: 30.10 | Pitch: -25.31 | Yaw: 4.26
[17:18:36.4706] Roll: 33.46 | Pitch: -15.95 | Yaw: -0.68
[17:18:36.4974] Roll: 33.33 | Pitch: -14.41 | Yaw: -2.15
[17:18:36.5243] Roll: 37.07 | Pitch: -20.86 | Yaw: 0.56
[17:18:36.5523] Roll: 32.52 | Pitch: -29.53 | Yaw: -2.30
[17:18:36.5773] Roll: 27.15 | Pitch: -37.46 | Yaw: -3.55
[17:18:36.6043] Roll: 28.57 | Pitch: -41.19 | Yaw: -0.17
[17:18:36.6314] Roll: 34.75 | Pitch: -39.84 | Yaw: 1.84
[17:18:36.6582] Roll: 38.28 | Pitch: -38.29 | Yaw: 0.05
[17:18:36.6853] Roll: 38.68 | Pitch: -38.15 | Yaw: -1.79
[17:18:36.7123] Roll: 39.80 | Pitch: -38.31 | Yaw: -1.27
[17:18:36.7393] Roll: 42.06 | Pitch: -39.28 | Yaw: -0.92
[17:18:36.7662] Roll: 42.61 | Pitch: -42.25 | Yaw: -2.38
[17:18:36.7933] Roll: 43.19 | Pitch: -46.40 | Yaw: -2.97
[17:18:36.8202] Roll: 43.79 | Pitch: -47.90 | Yaw: -3.47
[17:18:36.8474] Roll: 44.33 | Pitch: -47.93 | Yaw: -4.61
[17:18:36.8741] Roll: 45.20 | Pitch: -47.09 | Yaw: -5.36
[17:18:36.9013] Roll: 46.98 | Pitch: -46.04 | Yaw: -4.94
[17:18:36.9287] Roll: 48.14 | Pitch: -46.06 | Yaw: -5.53
[17:18:36.9552] Roll: 48.09 | Pitch: -47.55 | Yaw: -5.30
[17:18:36.9824] Roll: 48.97 | Pitch: -48.33 | Yaw: -4.55
[17:18:37.0093] Roll: 49.12 | Pitch: -48.25 | Yaw: -5.16
[17:18:37.0364] Roll: 48.09 | Pitch: -48.34 | Yaw: -6.68
[17:18:37.0632] Roll: 48.11 | Pitch: -47.53 | Yaw: -6.26
